"(10, 27, 16)",10,0.013,"[-0.32594801 -0.20227882  0.46269706  0.00209891  0.00379936  0.01414561
  0.00325366]","[ -3.25535046e-01  -1.97841163e-01   4.68165574e-01   2.04208436e-04
   3.45112227e-03   1.30593913e-02   3.46312262e-03]","[[   0.0984802,  -0.0872319,   -0.991308;
     0.916275,     -0.3807,    0.124527;
    -0.388254,   -0.920575,    0.042437]
[  -0.0882135,   0.0301019,   0.0020266]]","[-1.58824962 -0.35000001  0.09999996  0.40721787  0.21629558  0.06237242
 -0.03903923]","[[   0.0984802,  -0.0872319,   -0.991308;
     0.916275,     -0.3807,    0.124527;
    -0.388254,   -0.920575,    0.042437]
[  -0.0882135,   0.0301019,   0.0020266]]","[[   0.0991609,  -0.0902191,   -0.990973;
     0.916048,   -0.380657,    0.126319;
    -0.388618,   -0.920305,   0.0448987]
[    -0.08822,    0.030304,  0.00231316]]"
"(10, 27, 16)",10,0.023,"[-0.35238111 -0.27969007  0.45988497  0.00184858  0.00302993  0.01061077
  0.00285197]","[-0.3513352  -0.27516629  0.45870541  0.00258652  0.00326289  0.01083998
  0.00343503]","[[   0.0981697,  -0.0860783,    -0.99144;
     0.916392,    -0.38066,    0.123788;
    -0.388057,     -0.9207,   0.0415123]
[  -0.0882385,   0.0300357,  0.00200176]]","[-1.58824962 -0.35000001  0.09999996  0.40721787  0.21629558  0.06237242
 -0.03903923]","[[   0.0981697,  -0.0860783,    -0.99144;
     0.916392,    -0.38066,    0.123788;
    -0.388057,     -0.9207,   0.0415123]
[  -0.0882385,   0.0300357,  0.00200176]]","[[   0.0991609,  -0.0902191,   -0.990973;
     0.916048,   -0.380657,    0.126319;
    -0.388618,   -0.920305,   0.0448987]
[    -0.08822,    0.030304,  0.00231316]]"
"(10, 27, 16)",10,0.002,"[ -3.62765549e-01  -2.16439418e-01   4.00831220e-01  -2.79183040e-04
   1.64208668e-03   1.17354928e-02   3.41433547e-03]","[-0.36333304 -0.21372748  0.41376279  0.0012013   0.00232496  0.01175253
  0.00343503]","[[   0.0984513,  -0.0865556,   -0.991371;
     0.916216,   -0.380934,    0.124247;
    -0.388401,   -0.920542,   0.0418001]
[  -0.0882276,   0.0300909,  0.00199309]]","[-1.58824962 -0.35000001  0.09999996  0.40721787  0.21629558  0.06237242
 -0.03903923]","[[   0.0984513,  -0.0865556,   -0.991371;
     0.916216,   -0.380934,    0.124247;
    -0.388401,   -0.920542,   0.0418001]
[  -0.0882276,   0.0300909,  0.00199309]]","[[   0.0991609,  -0.0902191,   -0.990973;
     0.916048,   -0.380657,    0.126319;
    -0.388618,   -0.920305,   0.0448987]
[    -0.08822,    0.030304,  0.00231316]]"
"(10, 27, 16)",10,0.004,"[-0.36040545 -0.21643942  0.36146205  0.00090986  0.00351845  0.00932537
  0.00317332]","[-0.36465585 -0.21597251  0.37434189  0.00238418  0.00455132  0.01086119
  0.00343503]","[[   0.0987636,   -0.086208,    -0.99137;
      0.91633,   -0.380615,    0.124386;
    -0.388054,   -0.920706,    0.041404]
[  -0.0882353,   0.0300941,  0.00199217]]","[-1.58824962 -0.35000001  0.09999996  0.40721787  0.21629558  0.06237242
 -0.03903923]","[[   0.0987636,   -0.086208,    -0.99137;
      0.91633,   -0.380615,    0.124386;
    -0.388054,   -0.920706,    0.041404]
[  -0.0882353,   0.0300941,  0.00199217]]","[[   0.0991609,  -0.0902191,   -0.990973;
     0.916048,   -0.380657,    0.126319;
    -0.388618,   -0.920305,   0.0448987]
[    -0.08822,    0.030304,  0.00231316]]"
"(10, 27, 16)",10,0.019,"[-0.35568525 -0.21738346  0.31646871  0.00191116  0.00173813  0.01173549
  0.00317332]","[-0.36285875 -0.21529724  0.35154087 -0.00068111  0.00228917  0.01175253
  0.00343503]","[[   0.0984644,   -0.086492,   -0.991375;
     0.916294,   -0.380754,    0.124226;
    -0.388214,   -0.920622,   0.0417614]
[  -0.0882379,   0.0300929,  0.00199354]]","[-1.58824962 -0.35000001  0.09999996  0.40721787  0.21629558  0.06237242
 -0.03903923]","[[   0.0984644,   -0.086492,   -0.991375;
     0.916294,   -0.380754,    0.124226;
    -0.388214,   -0.920622,   0.0417614]
[  -0.0882379,   0.0300929,  0.00199354]]","[[   0.0991609,  -0.0902191,   -0.990973;
     0.916048,   -0.380657,    0.126319;
    -0.388618,   -0.920305,   0.0448987]
[    -0.08822,    0.030304,  0.00231316]]"
"(10, 27, 16)",20,0.015,"[-0.36654171 -0.21927154  0.4036433   0.00203633  0.00392981  0.01253887
  0.00357501]","[-0.37259078 -0.21835682  0.39820731 -0.00082179  0.00321444  0.0108436
  0.00343503]","[[   0.0987108,  -0.0862405,   -0.991372;
      0.91618,   -0.380981,    0.124366;
    -0.388419,   -0.920552,   0.0414049]
[  -0.0882314,   0.0300899,  0.00198469]]","[-1.58824962 -0.35000001  0.09999996  0.40721787  0.21629558  0.06237242
 -0.03903923]","[[   0.0987108,  -0.0862405,   -0.991372;
      0.91618,   -0.380981,    0.124366;
    -0.388419,   -0.920552,   0.0414049]
[  -0.0882314,   0.0300899,  0.00198469]]","[[   0.0991609,  -0.0902191,   -0.990973;
     0.916048,   -0.380657,    0.126319;
    -0.388618,   -0.920305,   0.0448987]
[    -0.08822,    0.030304,  0.00231316]]"
"(10, 27, 16)",20,0.002,"[ -3.32556283e-01  -2.11719220e-01   3.83958719e-01  -9.14391010e-05
   1.63320380e-03   1.12534690e-02   3.41433547e-03]","[-0.33610307 -0.21488796  0.3897989   0.00107259  0.00256353  0.01175253
  0.00334323]","[[   0.0983595,  -0.0867409,   -0.991363;
     0.916294,   -0.380754,    0.124226;
    -0.388241,   -0.920599,   0.0420294]
[  -0.0882312,   0.0300907,  0.00201731]]","[-1.58824962 -0.35000001  0.09999996  0.40721787  0.21629558  0.06237242
 -0.03903923]","[[   0.0983595,  -0.0867409,   -0.991363;
     0.916294,   -0.380754,    0.124226;
    -0.388241,   -0.920599,   0.0420294]
[  -0.0882312,   0.0300907,  0.00201731]]","[[   0.0991609,  -0.0902191,   -0.990973;
     0.916048,   -0.380657,    0.126319;
    -0.388618,   -0.920305,   0.0448987]
[    -0.08822,    0.030304,  0.00231316]]"
"(10, 27, 16)",0.009,20,"[-0.33397234 -0.2206876   0.38395872  0.00222407  0.00396867  0.01117313
  0.00313315]","[-0.33633693 -0.21721681  0.37088768  0.00048276  0.00455788  0.01086119
  0.00334323]","[[   0.0986142,  -0.0865157,   -0.991358;
     0.916255,   -0.380798,    0.124376;
    -0.388268,   -0.920602,   0.0417184]
[  -0.0882315,   0.0300916,  0.00201635]]","[-1.58824962 -0.35000001  0.09999996  0.40721787  0.21629558  0.06237242
 -0.03903923]","[[   0.0986142,  -0.0865157,   -0.991358;
     0.916255,   -0.380798,    0.124376;
    -0.388268,   -0.920602,   0.0417184]
[  -0.0882315,   0.0300916,  0.00201635]]","[[   0.0991609,  -0.0902191,   -0.990973;
     0.916048,   -0.380657,    0.126319;
    -0.388618,   -0.920305,   0.0448987]
[    -0.08822,    0.030304,  0.00231316]]"
"(10, 27, 16)",20,0.009,"[-0.33397234 -0.22399173  0.3698983  -0.00052951  0.00344906  0.01077145
  0.00309299]","[-0.33478316 -0.21681227  0.39042957 -0.00081395  0.00442042  0.01086119
  0.00334323]","[[   0.0985809,  -0.0865876,   -0.991355;
     0.916179,    -0.38098,    0.124381;
    -0.388456,    -0.92052,   0.0417724]
[  -0.0882314,   0.0300917,   0.0020174]]","[-1.58824962 -0.35000001  0.09999996  0.40721787  0.21629558  0.06237242
 -0.03903923]","[[   0.0985809,  -0.0865876,   -0.991355;
     0.916179,    -0.38098,    0.124381;
    -0.388456,    -0.92052,   0.0417724]
[  -0.0882314,   0.0300917,   0.0020174]]","[[   0.0991609,  -0.0902191,   -0.990973;
     0.916048,   -0.380657,    0.126319;
    -0.388618,   -0.920305,   0.0448987]
[    -0.08822,    0.030304,  0.00231316]]"
"(10, 27, 16)",20,0.023,"[-0.33397234 -0.21455134  0.3698983   0.00203633  0.00490352  0.0132619
  0.00337417]","[-0.33467014 -0.21467073  0.39820731 -0.00076722  0.00342158  0.01181807
  0.00334323]","[[   0.0983262,  -0.0868127,    -0.99136;
     0.916218,   -0.380936,    0.124232;
    -0.388429,   -0.920517,   0.0420834]
[  -0.0882299,   0.0300904,  0.00201835]]","[-1.58824962 -0.35000001  0.09999996  0.40721787  0.21629558  0.06237242
 -0.03903923]","[[   0.0983262,  -0.0868127,    -0.99136;
     0.916218,   -0.380936,    0.124232;
    -0.388429,   -0.920517,   0.0420834]
[  -0.0882299,   0.0300904,  0.00201835]]","[[   0.0991609,  -0.0902191,   -0.990973;
     0.916048,   -0.380657,    0.126319;
    -0.388618,   -0.920305,   0.0448987]
[    -0.08822,    0.030304,  0.00231316]]"
"(10, 27, 16)",20,0.001,"[-0.33586042 -0.21738346  0.3867708   0.00128535  0.00300828  0.01117313
  0.0034545 ]","[-0.34122657 -0.21498298  0.39867446  0.00262916  0.00410944  0.01086119
  0.00334323]","[[   0.0986827,     -0.0864,   -0.991361;
      0.91633,   -0.380615,    0.124386;
    -0.388074,   -0.920688,   0.0416108]
[    -0.08823,   0.0300924,   0.0020105]]","[-1.58824962 -0.35000001  0.09999996  0.40721787  0.21629558  0.06237242
 -0.03903923]","[[   0.0986827,     -0.0864,   -0.991361;
      0.91633,   -0.380615,    0.124386;
    -0.388074,   -0.920688,   0.0416108]
[    -0.08823,   0.0300924,   0.0020105]]","[[   0.0991609,  -0.0902191,   -0.990973;
     0.916048,   -0.380657,    0.126319;
    -0.388618,   -0.920305,   0.0448987]
[    -0.08822,    0.030304,  0.00231316]]"
"(10, 27, 16)",50,0.173,"[-0.3401086  -0.21691144  0.35864997  0.00059696  0.00220999  0.01302089
  0.00357501]","[-0.34367153 -0.21516716  0.35154087 -0.00069205  0.00191041  0.01175253
  0.00334323]","[[   0.0983592,  -0.0867345,   -0.991364;
     0.916218,   -0.380936,    0.124232;
    -0.388421,   -0.920524,   0.0419992]
[  -0.0882374,    0.030093,  0.00201095]]","[-1.58824962 -0.35000001  0.09999996  0.40721787  0.21629558  0.06237242
 -0.03903923]","[[   0.0983592,  -0.0867345,   -0.991364;
     0.916218,   -0.380936,    0.124232;
    -0.388421,   -0.920524,   0.0419992]
[  -0.0882374,    0.030093,  0.00201095]]","[[   0.0991609,  -0.0902191,   -0.990973;
     0.916048,   -0.380657,    0.126319;
    -0.388618,   -0.920305,   0.0448987]
[    -0.08822,    0.030304,  0.00231316]]"
